artists,name,year,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms,genres
Aerosmith,Crazy,1993,73,0.0868,0.37,0.866,0.0,0.13699999999999998,-3.8789999999999996,0.0384,0.4270000000000001,162.086,316693,album rock classic rock hard rock rock
Snoop Dogg Daz Dillinger,Gin N Juice (feat. Dat Nigga Daz),1993,73,0.0285,0.5489999999999999,0.853,0.000296,0.618,-4.293,0.188,0.34600000000000003,94.695,211493,g funk gangster rap hip hop rap west coast rap
2Pac,Keep Ya Head Up,1993,73,0.14400000000000002,0.598,0.732,0.0,0.508,-7.013,0.425,0.595,172.329,262507,g funk gangster rap hip hop rap west coast rap
Shania Twain,Man! I Feel Like A Woman!,1997,73,0.581,0.657,0.639,0.0,0.278,-7.527,0.0412,0.674,124.882,234493,canadian country canadian pop country country dawn dance pop
Whitney Houston,I Have Nothing,1992,73,0.5760000000000001,0.54,0.401,0.0,0.16399999999999998,-10.499,0.0364,0.24,152.974,289160,dance pop pop urban contemporary
Wu Tang Clan,C.R.E.A.M.,1993,73,0.57,0.479,0.5489999999999999,0.0239,0.127,-10.550999999999998,0.373,0.5760000000000001,180.985,252187,east coast hip hop gangster rap hardcore hip hop hip hop rap
Bon Jovi,Bed Of Roses,1992,73,0.10099999999999999,0.309,0.596,0.0,0.21,-5.599,0.0293,0.161,164.58700000000005,394400,glam metal rock
Ms Lauryn Hill,Doo Wop (That Thing),1998,73,0.0393,0.535,0.505,0.0,0.0923,-8.926,0.245,0.495,99.935,320267,conscious hip hop dance pop hip pop neo soul new jersey rap r&b urban contemporary
Metallica,Enter Sandman,1991,73,0.00206,0.579,0.8240000000000001,0.00903,0.059000000000000004,-8.71,0.03,0.635,123.331,331573,hard rock metal old school thrash rock thrash metal
Eric Carmen,Hungry Eyes,1997,73,0.011000000000000001,0.7120000000000001,0.5489999999999999,0.0,0.11800000000000001,-9.484,0.0254,0.552,109.882,251067,adult standards album rock disco mellow gold new wave pop soft rock yacht rock
Sublime,What I Got,1996,73,0.00877,0.804,0.696,0.000985,0.314,-7.47,0.0899,0.657,95.721,170907,reggae fusion ska mexicano ska punk
Luis Miguel,Hasta Que Me Olvides,1993,73,0.46,0.6409999999999999,0.593,0.0,0.16899999999999998,-7.883999999999999,0.0264,0.4370000000000001,119.82799999999999,281000,bolero latin latin pop
Andrés Calamaro,Flaca,1997,73,0.21,0.7390000000000001,0.745,0.0135,0.127,-6.6579999999999995,0.0267,0.9490000000000001,109.32600000000001,277653,argentine rock cantautor latin alternative latin rock pop argentino rock en espanol
Men At Work,Down Under,1996,73,0.0485,0.746,0.79,0.0261,0.0534,-4.7,0.0257,0.8909999999999999,107.23100000000001,220867,album rock australian rock dance rock mellow gold new romantic new wave new wave pop rock soft rock
Red Hot Chili Peppers,Give It Away,1991,73,0.00244,0.6659999999999999,0.9359999999999999,0.086,0.153,-9.919,0.0476,0.7759999999999999,91.57700000000001,282907,alternative rock funk metal funk rock permanent wave rock
Seal,Kiss from a Rose,1994,73,0.684,0.583,0.532,0.0,0.306,-7.11,0.0309,0.223,131.741,288427,adult standards album rock brill building pop bubblegum pop classic rock country rock folk folk rock mellow gold soft rock yacht rock
Radiohead,High And Dry,1995,73,0.0718,0.418,0.38299999999999995,0.0177,0.0896,-11.782,0.0257,0.35200000000000004,87.773,257480,alternative rock art rock melancholia oxford indie permanent wave rock
Eminem Nate Dogg,'Till I Collapse,2002,83,0.0622,0.5479999999999999,0.847,0.0,0.0816,-3.237,0.18600000000000005,0.1,171.447,297787,detroit hip hop hip hop rap
Coldplay,The Scientist,2002,83,0.727,0.56,0.442,1.7100000000000002e-05,0.11,-7.224,0.0243,0.212,146.44799999999995,309600,permanent wave pop
Eminem,Without Me,2002,82,0.00286,0.9079999999999999,0.669,0.0,0.237,-2.827,0.0738,0.662,112.238,290320,detroit hip hop hip hop rap
Shakira Wyclef Jean,Hips Don't Lie (feat. Wyclef Jean),2005,82,0.284,0.778,0.8240000000000001,0.0,0.405,-5.892,0.0712,0.7559999999999999,100.024,218093,colombian pop dance pop latin latin pop pop
Jason Mraz,I'm Yours,2008,82,0.595,0.6859999999999999,0.457,0.0,0.105,-8.322000000000001,0.0468,0.718,150.953,242187,acoustic pop neo mellow pop pop rock
